INDEX,PROVIDER_NAME,MONTH,BILLING_COMPL_PCT,NOTE_COMPL_PCT,DOCUMENTATION_COMPL_PCT
48,Alfredo Harrington,January,0.960,0.890,0.925
148,Alfredo Harrington,February,0.800,0.760,0.78
248,Alfredo Harrington,March,0.930,0.810,0.87
348,Alfredo Harrington,April,0.770,0.810,0.79
448,Alfredo Harrington,May,0.910,0.820,0.865
548,Alfredo Harrington,June,1.000,0.790,0.895
648,Alfredo Harrington,July,0.950,0.880,0.915
748,Alfredo Harrington,August,0.800,0.870,0.835
848,Alfredo Harrington,September,0.970,0.840,0.905
948,Alfredo Harrington,October,0.830,0.800,0.815
1048,Alfredo Harrington,November,0.900,0.870,0.885
1148,Alfredo Harrington,December,0.870,0.780,0.825
44,Alice Haas,January,0.820,0.780,0.8
144,Alice Haas,February,0.930,0.870,0.9
244,Alice Haas,March,0.930,0.770,0.85
344,Alice Haas,April,0.830,0.750,0.79
444,Alice Haas,May,0.870,0.800,0.835
544,Alice Haas,June,0.910,0.830,0.87
644,Alice Haas,July,0.840,0.850,0.845
744,Alice Haas,August,0.840,0.780,0.81
844,Alice Haas,September,0.870,0.870,0.87
944,Alice Haas,October,0.890,0.850,0.87
1044,Alice Haas,November,0.820,0.770,0.795
1144,Alice Haas,December,0.950,0.820,0.885
45,Alison Cole,January,0.970,0.830,0.9
145,Alison Cole,February,0.900,0.870,0.885
245,Alison Cole,March,0.850,0.780,0.815
345,Alison Cole,April,0.940,0.850,0.895
445,Alison Cole,May,0.900,0.900,0.9
545,Alison Cole,June,0.850,0.780,0.815
645,Alison Cole,July,0.920,0.900,0.91
745,Alison Cole,August,1.000,0.840,0.92
845,Alison Cole,September,0.910,0.790,0.85
945,Alison Cole,October,0.950,0.770,0.86
1045,Alison Cole,November,0.910,0.800,0.855
1145,Alison Cole,December,0.850,0.810,0.83
94,Allan Keenan,January,0.760,0.870,0.815
194,Allan Keenan,February,0.930,0.800,0.865
294,Allan Keenan,March,0.920,0.870,0.895
394,Allan Keenan,April,0.970,0.790,0.88
494,Allan Keenan,May,0.910,0.880,0.895
594,Allan Keenan,June,0.860,0.880,0.87
694,Allan Keenan,July,0.870,0.790,0.83
794,Allan Keenan,August,0.970,0.800,0.885
894,Allan Keenan,September,0.900,0.800,0.85
994,Allan Keenan,October,0.800,0.890,0.845
1094,Allan Keenan,November,0.850,0.840,0.845
1194,Allan Keenan,December,0.800,0.870,0.835
46,Andrea Cordova,January,0.810,0.790,0.8
146,Andrea Cordova,February,0.870,0.890,0.88
246,Andrea Cordova,March,0.960,0.830,0.895
346,Andrea Cordova,April,0.930,0.860,0.895
446,Andrea Cordova,May,0.820,0.770,0.795
546,Andrea Cordova,June,0.950,0.850,0.9
646,Andrea Cordova,July,0.850,0.820,0.835
746,Andrea Cordova,August,0.920,0.760,0.84
846,Andrea Cordova,September,0.920,0.860,0.89
946,Andrea Cordova,October,0.970,0.820,0.895
1046,Andrea Cordova,November,0.970,0.770,0.87
1146,Andrea Cordova,December,0.960,0.860,0.91
92,Annie Rodriguez,January,0.990,0.800,0.895
192,Annie Rodriguez,February,0.960,0.830,0.895
292,Annie Rodriguez,March,0.840,0.790,0.815
392,Annie Rodriguez,April,0.950,0.790,0.87
492,Annie Rodriguez,May,0.900,0.860,0.88
592,Annie Rodriguez,June,0.750,0.870,0.81
692,Annie Rodriguez,July,0.970,0.880,0.925
792,Annie Rodriguez,August,0.850,0.830,0.84
892,Annie Rodriguez,September,0.770,0.800,0.785
992,Annie Rodriguez,October,0.830,0.870,0.85
1092,Annie Rodriguez,November,0.850,0.840,0.845
1192,Annie Rodriguez,December,0.940,0.850,0.895
87,Antoinette Colon,January,0.870,0.900,0.885
187,Antoinette Colon,February,0.830,0.800,0.815
287,Antoinette Colon,March,0.880,0.860,0.87
387,Antoinette Colon,April,0.990,0.830,0.91
487,Antoinette Colon,May,0.790,0.820,0.805
587,Antoinette Colon,June,0.930,0.850,0.89
687,Antoinette Colon,July,0.980,0.880,0.93
787,Antoinette Colon,August,0.810,0.810,0.81
887,Antoinette Colon,September,0.850,0.780,0.815
987,Antoinette Colon,October,0.850,0.870,0.86
1087,Antoinette Colon,November,0.850,0.890,0.87
1187,Antoinette Colon,December,0.900,0.870,0.885
52,Antonio Hooper,January,0.980,0.900,0.94
152,Antonio Hooper,February,0.960,0.890,0.925
252,Antonio Hooper,March,0.860,0.800,0.83
352,Antonio Hooper,April,0.870,0.810,0.84
452,Antonio Hooper,May,0.810,0.900,0.855
552,Antonio Hooper,June,0.850,0.820,0.835
652,Antonio Hooper,July,0.950,0.840,0.895
752,Antonio Hooper,August,0.910,0.900,0.905
852,Antonio Hooper,September,0.830,0.800,0.815
952,Antonio Hooper,October,0.860,0.840,0.85
1052,Antonio Hooper,November,0.990,0.750,0.87
1152,Antonio Hooper,December,0.790,0.890,0.84
33,Becky Simmons,January,0.810,0.820,0.815
133,Becky Simmons,February,0.810,0.880,0.845
233,Becky Simmons,March,0.860,0.900,0.88
333,Becky Simmons,April,0.790,0.790,0.79
433,Becky Simmons,May,0.900,0.810,0.855
533,Becky Simmons,June,1.000,0.850,0.925
633,Becky Simmons,July,0.970,0.790,0.88
733,Becky Simmons,August,0.780,0.880,0.83
833,Becky Simmons,September,0.960,0.760,0.86
933,Becky Simmons,October,0.790,0.850,0.82
1033,Becky Simmons,November,0.920,0.790,0.855
1133,Becky Simmons,December,0.900,0.830,0.865
20,Bernadette McDonald,January,0.990,0.800,0.895
120,Bernadette McDonald,February,0.920,0.880,0.9
220,Bernadette McDonald,March,0.840,0.800,0.82
320,Bernadette McDonald,April,0.820,0.850,0.835
420,Bernadette McDonald,May,0.960,0.790,0.875
520,Bernadette McDonald,June,0.830,0.800,0.815
620,Bernadette McDonald,July,0.760,0.860,0.81
720,Bernadette McDonald,August,0.890,0.840,0.865
820,Bernadette McDonald,September,0.990,0.760,0.875
920,Bernadette McDonald,October,0.850,0.810,0.83
1020,Bernadette McDonald,November,0.870,0.810,0.84
1120,Bernadette McDonald,December,0.800,0.900,0.85
72,Bessie Platt,January,0.990,0.840,0.915
172,Bessie Platt,February,0.970,0.840,0.905
272,Bessie Platt,March,0.870,0.840,0.855
372,Bessie Platt,April,0.960,0.880,0.92
472,Bessie Platt,May,0.930,0.790,0.86
572,Bessie Platt,June,0.830,0.760,0.795
672,Bessie Platt,July,0.840,0.770,0.805
772,Bessie Platt,August,0.970,0.790,0.88
872,Bessie Platt,September,0.870,0.840,0.855
972,Bessie Platt,October,0.800,0.890,0.845
1072,Bessie Platt,November,0.780,0.810,0.795
1172,Bessie Platt,December,0.900,0.760,0.83
58,Billie Eldridge,January,0.860,0.830,0.845
158,Billie Eldridge,February,0.840,0.800,0.82
258,Billie Eldridge,March,0.850,0.800,0.825
358,Billie Eldridge,April,0.760,0.900,0.83
458,Billie Eldridge,May,0.760,0.890,0.825
558,Billie Eldridge,June,0.920,0.830,0.875
658,Billie Eldridge,July,0.870,0.800,0.835
758,Billie Eldridge,August,0.790,0.750,0.77
858,Billie Eldridge,September,0.910,0.880,0.895
958,Billie Eldridge,October,0.880,0.800,0.84
1058,Billie Eldridge,November,0.890,0.780,0.835
1158,Billie Eldridge,December,0.920,0.860,0.89
41,Bridget Carey,January,0.780,0.850,0.815
141,Bridget Carey,February,0.960,0.820,0.89
241,Bridget Carey,March,0.990,0.770,0.88
341,Bridget Carey,April,0.980,0.780,0.88
441,Bridget Carey,May,0.840,0.790,0.815
541,Bridget Carey,June,0.920,0.790,0.855
641,Bridget Carey,July,0.880,0.810,0.845
741,Bridget Carey,August,0.870,0.890,0.88
841,Bridget Carey,September,0.850,0.750,0.8
941,Bridget Carey,October,0.790,0.870,0.83
1041,Bridget Carey,November,0.770,0.820,0.795
1141,Bridget Carey,December,0.900,0.840,0.87
90,Brooke Irvin,January,0.860,0.750,0.805
190,Brooke Irvin,February,0.780,0.830,0.805
290,Brooke Irvin,March,0.950,0.850,0.9
390,Brooke Irvin,April,0.970,0.770,0.87
490,Brooke Irvin,May,0.810,0.780,0.795
590,Brooke Irvin,June,0.860,0.900,0.88
690,Brooke Irvin,July,0.820,0.860,0.84
790,Brooke Irvin,August,0.800,0.900,0.85
890,Brooke Irvin,September,0.990,0.890,0.94
990,Brooke Irvin,October,0.870,0.800,0.835
1090,Brooke Irvin,November,0.800,0.870,0.835
1190,Brooke Irvin,December,0.920,0.840,0.88
61,Cecil Murphy,January,0.750,0.870,0.81
161,Cecil Murphy,February,0.890,0.790,0.84
261,Cecil Murphy,March,0.960,0.770,0.865
361,Cecil Murphy,April,0.900,0.840,0.87
461,Cecil Murphy,May,0.960,0.800,0.88
561,Cecil Murphy,June,0.870,0.750,0.81
661,Cecil Murphy,July,0.780,0.840,0.81
761,Cecil Murphy,August,0.810,0.840,0.825
861,Cecil Murphy,September,0.900,0.830,0.865
961,Cecil Murphy,October,0.850,0.850,0.85
1061,Cecil Murphy,November,0.960,0.900,0.93
1161,Cecil Murphy,December,0.970,0.840,0.905
77,Cecilia Humphrey,January,0.880,0.860,0.87
177,Cecilia Humphrey,February,0.980,0.810,0.895
277,Cecilia Humphrey,March,0.890,0.840,0.865
377,Cecilia Humphrey,April,0.880,0.840,0.86
477,Cecilia Humphrey,May,1.000,0.810,0.905
577,Cecilia Humphrey,June,0.930,0.790,0.86
677,Cecilia Humphrey,July,0.920,0.810,0.865
777,Cecilia Humphrey,August,0.800,0.870,0.835
877,Cecilia Humphrey,September,0.780,0.860,0.82
977,Cecilia Humphrey,October,0.920,0.850,0.885
1077,Cecilia Humphrey,November,0.790,0.780,0.785
1177,Cecilia Humphrey,December,0.960,0.840,0.9
39,Cheryl Fletcher,January,0.960,0.860,0.91
